population_mean,population standard deveation
3.8596491228070176,4.647979686947721
4.16374269005848,4.838215035878638
4.04,4.948551633084788
3.1343283582089554,3.646897902984081
3.253731343283582,3.5859290820198106
3.1343283582089554,3.646897902984081
3.3970588235294117,3.72622695763043
3.3823529411764706,3.6814557948039655
3.3970588235294117,3.7222193102372505
3.6029411764705883,3.909955551460732
4.0,4.211329257805314
3.8550724637681157,4.015687481684068
3.710144927536232,3.9111509110842757
3.7971014492753623,3.983715787408887
3.6666666666666665,3.875513881169471
3.971014492753623,4.273622979093258
4.3,4.453788486677154
6.8,4.324349662087931
4.285714285714286,4.379950583285692
2.4,3.361547262794322
4.352112676056338,4.513783941754082
4.492682926829269,4.584307752599122
4.633802816901408,4.772658548199969
4.868932038834951,4.936405903502997
3.4,4.219004621945797
5.3426573426573425,5.928096023704923
2.4965034965034967,3.767679686966401
1.6818181818181819,3.1378846929612227
5.2,5.215361924162119
2.0434782608695654,2.671027396298783
2.5172413793103448,3.3625871493783994
